tanh不行
{"Bleu_1": 0.7748849348289074, "Bleu_2": 0.6146333885238014, "Bleu_3": 0.46020967836788423, "Bleu_4": 0.33684727804750675, "METEOR": 0.27115036361569356, "ROUGE_L": 0.563757963357518, "CIDEr": 1.129804233495999, "SPICE": 0.20750365472075524}epoch:6
{"Bleu_1": 0.7781747848588842, "Bleu_2": 0.6203096946305099, "Bleu_3": 0.4669522685460132, "Bleu_4": 0.3436392447227546, "METEOR": 0.2735911610850432, "ROUGE_L": 0.5669701880875714, "CIDEr": 1.1466802305949713, "SPICE": 0.2080134803763729}epoch:7
{"Bleu_1": 0.7808380463805736, "Bleu_2": 0.6214421883021075, "Bleu_3": 0.468109070092671, "Bleu_4": 0.34430017669670615, "METEOR": 0.2762262874488972, "ROUGE_L": 0.5683308564139795, "CIDEr": 1.1555486278580993, "SPICE": 0.21013116993484418}epoch:8
{"Bleu_1": 0.7814081189213109, "Bleu_2": 0.6223622682537018, "Bleu_3": 0.4691613348891352, "Bleu_4": 0.34638336228618694, "METEOR": 0.2760359947010288, "ROUGE_L": 0.5674119572650597, "CIDEr": 1.1524511992285709, "SPICE": 0.21039902911184535}epoch:9
{"Bleu_1": 0.7761000458534731, "Bleu_2": 0.6132883822391773, "Bleu_3": 0.4573965492209993, "Bleu_4": 0.3330080109918135, "METEOR": 0.2713110001264614, "ROUGE_L": 0.5619394382690925, "CIDEr": 1.1223330832721643, "SPICE": 0.20689983370166912}epoch:10

test epoch9
{"Bleu_1": 0.7746148888157435, "Bleu_2": 0.612470417828848, "Bleu_3": 0.46197263669456917, "Bleu_4": 0.34099068868834037, "METEOR": 0.27251506707850726, "ROUGE_L": 0.5627224193235741, "CIDEr": 1.1364671182720694, "SPICE": 0.2078048828886419}
# 3层 use_npair_loss prefix50 with const20 learn use_npair_loss=True for only the last layer lamada=0.1
{"Bleu_1": 0.741724765813554, "Bleu_2": 0.572834171542141, "Bleu_3": 0.4176385574195063, "Bleu_4": 0.29807600342844476, "METEOR": 0.2548646349311429, "ROUGE_L": 0.5379079721388443, "CIDEr": 0.9993927267668425, "SPICE": 0.19110416577895012}epoch:0
{"Bleu_1": 0.7695637695637536, "Bleu_2": 0.6037314222551655, "Bleu_3": 0.4464841666445276, "Bleu_4": 0.3205455617669773, "METEOR": 0.2703547893981433, "ROUGE_L": 0.5569803834346462, "CIDEr": 1.0887316804340774, "SPICE": 0.2044337247751716}epoch:1
{"Bleu_1": 0.7780124197628793, "Bleu_2": 0.615043860700541, "Bleu_3": 0.4600886792360252, "Bleu_4": 0.33681835357111406, "METEOR": 0.2729047349787114, "ROUGE_L": 0.5623044649315876, "CIDEr": 1.1220000996793296, "SPICE": 0.2081775707821056}epoch:2
{"Bleu_1": 0.7747408495582385, "Bleu_2": 0.6143455287037262, "Bleu_3": 0.46073573366183906, "Bleu_4": 0.33716203314686977, "METEOR": 0.27538195371417173, "ROUGE_L": 0.5640766032048942, "CIDEr": 1.131911783334195, "SPICE": 0.21017577965698123}epoch:3
